lat_pred,lon_pred,pontoId
-8.055883333333334,-34.95062333333333,7204.0
-8.055606666666668,-34.954373333333336,6997.0
-8.049079999999998,-34.95294,9258.0
-8.051260000000001,-34.950590000000005,8489.0
-8.052356666666666,-34.956386666666674,7929.0
-8.052190000000001,-34.94817333333333,7921.0
-8.055083333333334,-34.95844,6918.0
-8.052203333333333,-34.94624666666667,7939.0
-8.04897333333333,-34.94725333333333,9076.0
-8.051549999999999,-34.95000666666667,8384.0
-8.052480000000001,-34.948366666666665,7987.0
-8.047976666666669,-34.95221,9461.0
-8.05284,-34.95354666666667,7847.0
-8.05756,-34.949823333333335,6679.0
-8.047406666666667,-34.95399333333333,9491.0
-8.053913333333334,-34.959583333333335,7520.0
-8.055643333333334,-34.95044000000001,7318.0
-8.055766666666665,-34.95499333333334,6814.0
-8.048873333333333,-34.952976666666665,9073.0
-8.056136666666667,-34.951640000000005,6718.0
-8.048736666666668,-34.95223,8981.0
-8.055473333333333,-34.95542666666666,7160.0
-8.055349999999999,-34.95077333333333,7087.0
-8.04726,-34.95395666666666,9586.0
-8.056116666666666,-34.95075333333333,7280.0
-8.055606666666668,-34.95424,7083.0
-8.052643333333334,-34.95595333333333,7831.0
-8.051699999999999,-34.94643333333334,8494.0
-8.053563333333335,-34.952866666666665,7614.0
-8.052846666666667,-34.95370666666667,7835.0
-8.05407,-34.956543333333336,7697.0
-8.04877,-34.95146666666667,9116.0
-8.055633333333333,-34.95390666666667,6983.0
-8.055286666666666,-34.95919,7393.0
-8.054126666666667,-34.95371666666667,7634.0
-8.05421,-34.959293333333335,7277.0
-8.05305,-34.95972666666666,7807.0
-8.051196666666668,-34.95012333333333,8624.0
-8.052223333333332,-34.94815,7994.0
-8.050223333333333,-34.94859,8811.0
-8.053186666666667,-34.948836666666665,7771.0
-8.05298,-34.95374666666667,7755.0
-8.055163333333335,-34.953489999999995,7329.0
-8.04703,-34.95061666666667,9655.0
-8.050343333333332,-34.95482333333333,8833.0
-8.056576666666666,-34.95598999999999,6833.0
-8.054273333333333,-34.953916666666665,7529.0
-8.053356666666668,-34.948919999999994,7752.0
-8.055749999999998,-34.95503333333334,6841.0
-8.056113333333334,-34.95538333333334,7125.0
-8.053096666666667,-34.95583333333333,7730.0
-8.047283333333334,-34.95396333333333,9279.0
-8.055579999999999,-34.954723333333334,7071.0
-8.050386666666666,-34.95483666666667,8733.0
-8.052536666666667,-34.94745666666667,7914.0
-8.050790000000001,-34.94940333333333,8316.0
-8.048526666666667,-34.946949999999994,9176.0
-8.05645,-34.95514,6750.0
-8.047856666666666,-34.95309666666667,9447.0
-8.047166666666667,-34.95276666666666,9385.0
-8.048083333333333,-34.94755333333333,9363.0
-8.054476666666666,-34.953633333333336,7605.0
-8.051433333333334,-34.950543333333336,8442.0
-8.055986666666668,-34.95638333333333,7217.0
-8.055986666666668,-34.95638333333333,6832.0
-8.05196,-34.957100000000004,8083.0
-8.056579999999999,-34.955146666666664,6788.0
-8.05191,-34.955286666666666,7908.0
-8.05558,-34.95486666666667,7105.0
-8.055903333333333,-34.95073666666667,6925.0
-8.047863333333334,-34.95067666666666,9376.0
-8.046476666666667,-34.94537333333333,9599.0
-8.05249,-34.94976333333334,8313.0
-8.052459999999998,-34.95979,7760.0
-8.055706666666667,-34.95585,6943.0
-8.05013,-34.95476,8784.0
-8.048546666666667,-34.9508,9175.0
-8.055909999999999,-34.955040000000004,7097.0
-8.052050000000001,-34.94737333333333,8172.0
-8.055570000000001,-34.95905333333334,6950.0
-8.04873,-34.94698666666667,9062.0
-8.05174,-34.95762666666667,8338.0
-8.050466666666667,-34.95412,8700.0
-8.047096666666668,-34.950606666666665,9647.0
-8.051576666666667,-34.94774666666667,8342.0
-8.05037,-34.95368666666667,8729.0
-8.050193333333334,-34.95045666666667,8955.0
-8.05219,-34.94817333333333,7913.0
-8.046460000000002,-34.94627333333333,9611.0
-8.05165,-34.95326666666667,8329.0
-8.056163333333334,-34.95066333333333,6808.0
-8.04943,-34.95305,8924.0
-8.054163333333333,-34.95728,7587.0
-8.052366666666666,-34.94693,7937.0
-8.056076666666668,-34.952106666666666,7314.0
-8.051620000000002,-34.95104666666666,8524.0
-8.047156666666666,-34.947556666666664,9522.0
-8.048713333333334,-34.95144,9150.0
-8.05677,-34.95494,7106.0
-8.052203333333333,-34.948,7998.0
-8.051223333333333,-34.95897,8498.0
-8.055573333333333,-34.95897,7428.0
-8.04703,-34.95061666666667,9648.0
-8.048536666666667,-34.951393333333336,9210.0
-8.04735,-34.94756666666667,9606.0
-8.051193333333336,-34.95059333333334,8471.0
-8.051373333333332,-34.95957000000001,8628.0
-8.05325,-34.94887333333333,7735.0
-8.050456666666667,-34.954010000000004,8564.0
-8.052533333333335,-34.9484,7765.0
-8.05216,-34.95671,7968.0
-8.05077,-34.95495,8549.0
-8.051886666666666,-34.948010000000004,8214.0
-8.05271,-34.95365666666667,7891.0
-8.055746666666666,-34.95806666666667,6930.0
-8.053826666666668,-34.947093333333335,8221.0
-8.051350000000001,-34.95512333333334,8536.0
-8.054756666666668,-34.95536666666666,7583.0
-8.05174,-34.95762666666667,8366.0
-8.048363333333333,-34.95947333333333,9307.0
-8.049296666666665,-34.95671,8309.0
-8.055616666666666,-34.954559999999994,7057.0
-8.050233333333333,-34.95937,8319.0
-8.055749999999998,-34.95503333333334,6829.0
-8.049723333333333,-34.959366666666675,9328.0
-8.051126666666667,-34.95016666666667,8087.0
-8.057106666666668,-34.94652,6768.0
-8.048926666666667,-34.94565666666667,9084.0
-8.054826666666667,-34.95305666666667,7306.0
-8.05441,-34.956313333333334,7528.0
-8.054646666666667,-34.95362,7439.0
-8.04845,-34.94696,9198.0
-8.055713333333335,-34.95859000000001,6993.0
-8.055109999999999,-34.95295666666667,7369.0
-8.051376666666668,-34.94777333333334,8490.0
-8.049570000000001,-34.953120000000006,8915.0
-8.049026666666666,-34.95688333333334,8999.0
-8.04687,-34.95059333333334,9570.0
-8.047056666666668,-34.95061333333333,9645.0
-8.051133333333333,-34.952956666666665,8502.0
-8.051436666666667,-34.95321333333333,8537.0
-8.053980000000001,-34.95955000000001,7636.0
-8.05563,-34.954240000000006,6991.0
-8.05547,-34.95547333333334,7173.0
-8.048083333333333,-34.94747666666667,9353.0
-8.04894,-34.952666666666666,9185.0
-8.056263333333334,-34.95502333333334,7203.0
-8.051373333333332,-34.94777,8420.0
